,X,pathway_id,pathway_name,Gene count,gene_symbols
25,hsa04012,hsa04012,ErbB signaling pathway - Homo sapiens (human),81,"EGF, TGFA, AREG, EGFR, ERBB2, PLCG1, PLCG2, CAMK2A, CAMK2D, CAMK2B, CAMK2G, PRKCA, PRKCB, PRKCG, CBL, CBLB, STAT5A, STAT5B, SRC, PTK2, CRK, CRKL, ABL1, ABL2, NCK1, NCK2, PAK1, PAK2, PAK3, PAK4, PAK5, PAK6, BUB1B-PAK6, MAP2K4, MAP2K7, MAPK8, MAPK10, MAPK9, JUN, ELK1, BTC, HBEGF, EREG, ERBB3, NRG1, NRG2, ERBB4, SHC1, SHC2, SHC3, SHC4, GRB2, SOS1, SOS2, HRAS, KRAS, NRAS, ARAF, BRAF, RAF1, MAP2K1, MAP2K2, MAPK1, MAPK3, MYC, GAB1, NRG3, NRG4, PIK3CA, PIK3CD, PIK3CB, PIK3R1, PIK3R2, PIK3R3, P3R3URF-PIK3R3, AKT1, AKT2, AKT3, MTOR, RPS6KB1, RPS6KB2, EIF4EBP1, BAD, GSK3B, CDKN1B, CDKN1A"
26,hsa04014,hsa04014,Ras signaling pathway - Homo sapiens (human),216,"EGF, TGFA, FGF1, FGF2, FGF3, FGF4, FGF17, FGF6, FGF7, FGF8, FGF9, FGF10, FGF16, FGF5, FGF18, FGF20, FGF22, FGF19, FGF21, FGF23, NGF, BDNF, NTF3, NTF4, INS, IGF1, IGF2, PDGFA, PDGFB, PDGFC, PDGFD, CSF1, KITLG, FLT3LG, VEGFA, VEGFB, PGF, VEGFC, VEGFD, HGF, ANGPT1, ANGPT2, ANGPT4, EFNA1, EFNA2, EFNA3, EFNA4, EFNA5, EFNA4-EFNA3, EGFR, FGFR1, FGFR2, FGFR3, FGFR4, NGFR, NTRK1, NTRK2, INSR, IGF1R, PDGFRA, PDGFRB, CSF1R, KIT, FLT3, FLT1, FLT4, KDR, MET, TEK, EPHA2, GRB2, GAB1, GAB2, SHC1, SHC2, SHC3, SHC4, PTPN11, SOS1, SOS2, PLCG1, PLCG2, RASGRP1, RASGRP2, RASGRP3, RASGRP4, ZAP70, LAT, HTR7, GNB1, GNB2, GNB3, GNB4, GNB5, GNG2, GNG3, GNG4, GNG5, GNG7, GNG8, GNG10, GNG11, GNG12, GNG13, GNGT1, GNGT2, PRKACA, PRKACB, PRKACG, RASGRF1, RASGRF2, GRIN1, GRIN2A, GRIN2B, CALML3, CALM2, CALM3, CALM1, CALML6, CALML5, CALML4, HRAS, KRAS, NRAS, MRAS, RRAS, RRAS2, NF1, RASA1, RASA2, RASA3, RASA4, RASA4B, SYNGAP1, RASAL1, RASAL2, RASAL3, RASSF1, RASSF5, STK4, TIAM1, RAC1, RAC2, RAC3, PAK1, PAK2, PAK3, PAK4, PAK5, PAK6, BUB1B-PAK6, RHOA, PIK3CA, PIK3CD, PIK3CB, PIK3R1, PIK3R2, PIK3R3, P3R3URF-PIK3R3, AKT1, AKT2, AKT3, IKBKG, CHUK, IKBKB, NFKB1, RELA, BAD, BCL2L1, FOXO4, FASLG, RALGAPA1, RALGAPA2, RALGAPB, RALGDS, RGL1, RGL2, RALA, RALB, PLD1, PLD2, EXOC2, TBK1, REL, MAPK8, MAPK10, MAPK9, RALBP1, CDC42, AFDN, SHOC2, RAF1, MAP2K1, MAP2K2, MAPK1, MAPK3, PLA1A, PLA2G10, PLA2G2D, PLA2G2E, PLA2G3, PLA2G2F, PLA2G12A, PLA2G12B, PLA2G1B, PLA2G5, PLA2G2A, PLA2G2C, PLA2G4E, PLA2G4A, JMJD7-PLA2G4B, PLA2G4B, PLA2G4C, PLA2G4D, PLA2G4F, PLA2G6, PLAAT3, PLAAT2, ELK1, ETS1, ETS2, BRAP, KSR1, KSR2, RAPGEF5, RAP1A, RAP1B, PLCE1, PRKCA, PRKCB, PRKCG, RIN1, ABL1, ABL2, RAB5A, RAB5B, RAB5C, ARF6"
27,hsa04015,hsa04015,Rap1 signaling pathway - Homo sapiens (human),205,"RAP1A, RAP1B, MRAS, RAPGEF5, DOCK4, GRIN1, GRIN2A, GRIN2B, CALML3, CALM2, CALM3, CALM1, CALML6, CALML5, CALML4, F2R, F2RL3, P2RY1, FPR1, LPAR1, LPAR2, LPAR3, LPAR4, LPAR5, ADORA2A, ADORA2B, GNAS, ADCY1, ADCY2, ADCY3, ADCY4, ADCY5, ADCY6, ADCY7, ADCY8, ADCY9, RAPGEF3, RAPGEF4, GNAQ, PLCB1, PLCB2, PLCB3, PLCB4, RASGRP3, RASGRP2, EGF, FGF1, FGF2, FGF3, FGF4, FGF17, FGF6, FGF7, FGF8, FGF9, FGF10, FGF16, FGF5, FGF18, FGF20, FGF22, FGF19, FGF21, FGF23, NGF, INS, IGF1, PDGFA, PDGFB, PDGFC, PDGFD, CSF1, KITLG, VEGFA, VEGFB, PGF, VEGFC, VEGFD, HGF, ANGPT1, ANGPT2, ANGPT4, EFNA1, EFNA2, EFNA3, EFNA4, EFNA5, EFNA4-EFNA3, EGFR, FGFR1, FGFR2, FGFR3, FGFR4, NGFR, INSR, IGF1R, PDGFRA, PDGFRB, CSF1R, KIT, FLT1, FLT4, KDR, MET, TEK, EPHA2, CRK, CRKL, RAPGEF1, BCAR1, CDH1, CTNNB1, MAGI1, MAGI2, MAGI3, RAPGEF2, RAPGEF6, LAT, FYB1, LCP2, SKAP1, PLCG1, PRKCA, PRKCB, PRKCG, PRKD1, PRKD3, PRKD2, DRD2, CNR1, GNAI1, GNAI3, GNAI2, GNAO1, RAP1GAP, SIPA1L1, SIPA1, SIPA1L2, SIPA1L3, ID1, THBS1, RALGDS, RALA, RALB, RAC1, RAC2, RAC3, APBB1IP, TLN1, TLN2, ITGA2B, ITGB3, PFN3, PFN1, PFN2, PFN4, VASP, ENAH, EVL, ACTG1, ACTB, ARAP3, RHOA, SRC, FARP2, CDC42, VAV3, VAV1, VAV2, TIAM1, PARD3, PARD6A, PARD6G, PARD6B, PRKCZ, PRKCI, AFDN, CTNND1, KRIT1, RGS14, RASSF5, ITGAL, ITGAM, ITGB2, ITGB1, BRAF, RAF1, MAP2K1, MAP2K2, MAPK1, MAPK3, MAP2K3, MAP2K6, MAPK11, MAPK12, MAPK13, MAPK14, PIK3CA, PIK3CD, PIK3CB, PIK3R1, PIK3R2, PIK3R3, P3R3URF-PIK3R3, AKT1, AKT2, AKT3, PLCE1, HRAS, KRAS, NRAS, RRAS"
28,hsa04310,hsa04310,Wnt signaling pathway - Homo sapiens (human),168,"PORCN, WNT1, WNT2, WNT2B, WNT3, WNT3A, WNT4, WNT5A, WNT5B, WNT6, WNT7A, WNT7B, WNT8A, WNT8B, WNT9A, WNT9B, WNT10B, WNT10A, WNT11, WNT16, CER1, NOTUM, WIF1, SOST, DKK1, DKK2, DKK4, SERPINF1, SFRP1, SFRP2, FRZB, SFRP4, SFRP5, RSPO1, RSPO2, RSPO3, RSPO4, LGR4, LGR5, LGR6, RNF43, ZNRF3, FZD1, FZD7, FZD2, FZD3, FZD4, FZD5, FZD8, FZD6, FZD10, FZD9, LRP5, LRP6, BAMBI, APCDD1, APCDD1L, CSNK1E, TPTEP2-CSNK1E, CCDC88C, DVL3, DVL2, DVL1, FRAT1, FRAT2, CSNK2A1, CSNK2A2, CSNK2A3, CSNK2B, NKD1, NKD2, CXXC4, SENP2, GSK3B, CTNNB1, AXIN1, AXIN2, APC, APC2, CSNK1A1L, CSNK1A1, TCF7, TCF7L1, TCF7L2, LEF1, LZTS2, CTNNBIP1, CBY1, CHD8, MCC, CCAR2, SIRT1, SOX17, CTBP1, CTBP2, TLE7, TLE1, TLE2, TLE3, TLE4, TLE6, CTNND2, CREBBP, EP300, RUVBL1, SMAD4, SMAD3, MAP3K7, NLK, MYC, JUN, FOSL1, CCND1, CCND2, CCND3, CCN4, PPARD, MMP7, PSEN1, PRKACA, PRKACB, PRKACG, TP53, SIAH1, CACYBP, SKP1, TBL1X, TBL1Y, TBL1XR1, BTRC, FBXW11, CUL1, RBX1, GPC4, ROR1, ROR2, RYK, VANGL2, VANGL1, PRICKLE1, PRICKLE2, PRICKLE4, PRICKLE3, INVS, DAAM1, DAAM2, RHOA, ROCK2, RAC1, RAC2, RAC3, MAPK8, MAPK10, MAPK9, PLCB1, PLCB2, PLCB3, PLCB4, CAMK2A, CAMK2D, CAMK2B, CAMK2G, PPP3CA, PPP3CB, PPP3CC, PPP3R1, PPP3R2, PRKCA, PRKCB, PRKCG, NFATC1, NFATC2, NFATC3, NFATC4"
29,hsa04330,hsa04330,Notch signaling pathway - Homo sapiens (human),58,"DLL3, DLL1, DLL4, JAG1, JAG2, MFNG, LFNG, RFNG, NOTCH1, NOTCH2, NOTCH3, NOTCH4, RBPJL, RBPJ, HES1, HES5, HEYL, HEY1, HEY2, PTCRA, NRARP, DVL3, DVL2, DVL1, NUMB, NUMBL, ITCH, DTX2, DTX3L, DTX1, DTX3, DTX4, ADAM17, PSEN1, PSEN2, PSENEN, NCSTN, APH1A, APH1B, MAML3, MAML2, MAML1, CREBBP, EP300, KAT2B, KAT2A, SNW1, CTBP1, CTBP2, TLE7, TLE1, TLE2, TLE3, TLE4, TLE6, NCOR2, CIR1, SPEN, HDAC1, HDAC2, ATXN1L, ATXN1"
30,hsa04340,hsa04340,Hedgehog signaling pathway - Homo sapiens (human),52,"PTCH1, PTCH2, SMO, GPR161, PRKACA, PRKACB, PRKACG, CSNK1A1L, CSNK1A1, CSNK1G2, CSNK1G3, CSNK1G1, CSNK1D, CSNK1E, TPTEP2-CSNK1E, GSK3B, GLI1, GLI2, GLI3, SUFU, KIF7, HHIP, CCND1, CCND2, BCL2, CUL1, BTRC, FBXW11, HHAT, HHATL, SHH, IHH, DHH, DISP1, SCUBE2, BOC, CDON, GAS1, LRP2, MOSMO, MEGF8, MGRN1, SMURF1, SMURF2, GRK2, GRK3, EVC, EVC2, EFCAB7, IQCE, ARRB1, ARRB2, KIF3A, CUL3, SPOP, SPOPL"
31,hsa04350,hsa04350,TGF-beta signaling pathway - Homo sapiens (human),104,"CHRD, NOG, NBL1, MICOS10-NBL1, GREM1, GREM2, THBS1, DCN, FMOD, LEFTY1, LEFTY2, FST, BMP2, BMP4, BMP6, INHBB, TF, BMP5, BMP7, BMP8B, BMP8A, GDF5, GDF6, GDF7, AMH, IFNG, TNF, THSD4, FBN1, LTBP1, TGFB1, TGFB2, TGFB3, INHBA, INHBC, INHBE, NODAL, BMPR1A, BMPR1B, ACVR1, BMPR2, ACVR2A, HJV, NEO1, HFE, TFR2, TFRC, RGMA, RGMB, AMHR2, TGFBR1, TGFBR2, EMP3, LRRC32, NRROS, ACVR1B, ACVR2B, ACVR1C, IGSF1, BAMBI, SMAD1, SMAD5, SMAD9, SMAD2, SMAD3, SMAD4, SMAD6, SMAD7, SMURF1, SMURF2, ZFYVE9, ZFYVE16, RBX1, CUL1, SKP1, MAPK1, MAPK3, RHOA, ROCK1, PPP2R1B, PPP2R1A, PPP2CA, PPP2CB, RPS6KB1, RPS6KB2, HAMP, ID1, ID2, ID3, ID4, RBL1, E2F4, E2F5, TFDP1, CREBBP, EP300, SP1, SKIL, SKI, SIN3A, HDAC1, HDAC2, NCOR1, TGIF1, TGIF2, MYC, CDKN2B, PITX2"
32,hsa04390,hsa04390,Hippo signaling pathway - Homo sapiens (human),157,"CRB2, CRB1, PARD3, PARD6A, PARD6G, PARD6B, PRKCZ, PRKCI, PATJ, PALS1, AMOT, YAP1, WWTR1, CDH1, LIMD1, AJUBA, WTIP, NF2, WWC1, FRMD1, FRMD6, SAV1, STK3, RASSF6, RASSF1, PPP2CA, PPP2CB, PPP2R1B, PPP2R1A, PPP2R2A, PPP2R2B, PPP2R2C, PPP2R2D, LATS2, LATS1, MOB1A, MOB1B, PPP1CA, PPP1CB, PPP1CC, TP53BP2, LLGL2, LLGL1, SCRIB, DLG1, DLG2, DLG3, DLG4, DLG5, CSNK1D, CSNK1E, TPTEP2-CSNK1E, BTRC, FBXW11, TP73, BBC3, TEAD1, TEAD4, TEAD3, TEAD2, CCN2, GLI2, AREG, BIRC5, AFP, ITGB2, FGF1, TGFB1, TGFB2, TGFB3, TGFBR1, TGFBR2, SMAD7, SMAD2, SMAD3, SMAD4, SERPINE1, BMP2, BMP4, BMP5, BMP6, BMP7, BMP8B, BMP8A, GDF5, GDF6, GDF7, AMH, BMPR1A, BMPR1B, BMPR2, SMAD1, ID1, ID2, WNT1, WNT2, WNT2B, WNT3, WNT3A, WNT4, WNT5A, WNT5B, WNT6, WNT7A, WNT7B, WNT8A, WNT8B, WNT9A, WNT9B, WNT10B, WNT10A, WNT11, WNT16, FZD1, FZD7, FZD2, FZD3, FZD4, FZD5, FZD8, FZD6, FZD10, FZD9, DVL3, DVL2, DVL1, YWHAZ, YWHAB, YWHAQ, YWHAE, YWHAH, YWHAG, GSK3B, CTNNB1, APC, APC2, AXIN1, AXIN2, NKD1, NKD2, TCF7, TCF7L1, TCF7L2, LEF1, MYC, CCND1, CCND2, CCND3, SOX2, SNAI2, BIRC2, BIRC3, ACTG1, ACTB, CTNNA3, CTNNA1, CTNNA2"
33,hsa04392,hsa04392,Hippo signaling pathway - multiple species - Homo sapiens (human),29,"DCHS1, DCHS2, FAT4, CSNK1E, TPTEP2-CSNK1E, NF2, WWC1, FRMD1, FRMD6, RASSF1, RASSF6, STK3, SAV1, LATS2, LATS1, MOB1A, MOB1B, LIMD1, AJUBA, WTIP, YAP1, WWTR1, TEAD1, TEAD4, TEAD3, TEAD2, RASSF2, RASSF4, PAK1"
34,hsa04370,hsa04370,VEGF signaling pathway - Homo sapiens (human),55,"VEGFA, KDR, SH2D2A, PLCG1, PLCG2, PRKCA, PRKCB, PRKCG, SPHK1, SPHK2, HRAS, KRAS, NRAS, RAF1, MAP2K1, MAP2K2, MAPK1, MAPK3, PLA2G4E, PLA2G4A, JMJD7-PLA2G4B, PLA2G4B, PLA2G4C, PLA2G4D, PLA2G4F, PPP3CA, PPP3CB, PPP3CC, PPP3R1, PPP3R2, NFATC2, PTGS2, PTK2, SHC2, PXN, CDC42, MAPK11, MAPK12, MAPK13, MAPK14, MAPKAPK2, MAPKAPK3, HSPB1, SRC, PIK3CA, PIK3CD, PIK3CB, PIK3R1, PIK3R2, PIK3R3, P3R3URF-PIK3R3, RAC1, RAC2, RAC3, AKT1, AKT2, AKT3, NOS3, CASP9, BAD"
35,hsa04371,hsa04371,Apelin signaling pathway - Homo sapiens (human),136,"ADCY1, ADCY2, ADCY3, ADCY4, ADCY5, ADCY6, ADCY7, ADCY8, ADCY9, ADCY10, PRKACA, PRKACB, PRKACG, LIPE, APLN, APELA, APLNR, GNAI1, GNAI3, GNAI2, GNB1, GNB2, GNB3, GNB4, GNB5, GNG2, GNG3, GNG4, GNG5, GNG7, GNG8, GNG10, GNG11, GNG12, GNG13, GNGT1, GNGT2, GNAQ, PLCB1, PLCB2, PLCB3, PLCB4, ITPR1, ITPR2, ITPR3, RYR1, RYR2, RYR3, CALML3, CALM2, CALM3, CALM1, CALML6, CALML5, CALML4, NOS1, NOS2, NOS3, PRKCE, SLC9A1, SLC8A1, SLC8A2, SLC8A3, MYLK, MYLK2, MYLK3, MYLK4, MYL2, MYL3, MYL4, HRAS, KRAS, NRAS, RRAS, RRAS2, MRAS, RAF1, MAP2K1, MAP2K2, MAPK1, MAPK3, RPS6KB1, RPS6KB2, RPS6, PIK3CG, PIK3R5, PIK3R6, AKT1, AKT2, AKT3, MTOR, EGR1, SPP1, JAG1, NOTCH3, CCND1, PDE3B, PIK3C3, PIK3R4, BECN1, BECN2, MAP1LC3C, MAP1LC3B, MAP1LC3A, MAP1LC3B2, MAP1LC3BP1, PRKAA1, PRKAA2, PRKAB1, PRKAB2, PRKAG1, PRKAG3, PRKAG2, PLIN1, PPARGC1A, UCP1, NRF1, TFAM, KLF2, SPHK1, SPHK2, GNA13, CAMK4, HDAC4, HDAC5, MEF2A, BORCS8-MEF2B, MEF2B, MEF2C, MEF2D, TGFBR1, SMAD2, SMAD3, SMAD4, ACTA2, CDH1, CCN2, AGTR1, SERPINE1, PLAT"
36,hsa04630,hsa04630,JAK-STAT signaling pathway - Homo sapiens (human),165,"IL2, IL4, IL7, IL9, IL15, IL21, TSLP, IL2RA, IL2RB, IL2RG, IL4R, IL7R, IL9R, IL15RA, IL21R, CRLF2, IL3, IL5, CSF2, IL3RA, IL5RA, CSF2RA, CSF2RB, IL6, IL11, IL13, IL27, IL31, OSM, LIF, CNTF, CTF1, CLCF1, IL6R, IL6ST, IL11RA, IL13RA1, IL13RA2, IL27RA, IL31RA, OSMR, LIFR, CNTFR, IL10, IL19, IL22, IL20, IL24, IL26, IL10RA, IL10RB, IL20RA, IL20RB, IL22RA1, IL22RA2, IL12A, IL12B, IL23A, IL12RB1, IL12RB2, IL23R, EPO, GH1, GH2, CSH1, CSH2, CSHL1, PRL, THPO, CSF3, LEP, EPOR, GHR, PRLR, MPL, CSF3R, LEPR, IFNA1, IFNA2, IFNA4, IFNA5, IFNA6, IFNA7, IFNA8, IFNA10, IFNA13, IFNA14, IFNA16, IFNA17, IFNA21, IFNB1, IFNE, IFNK, IFNL1, IFNL2, IFNL3, IFNW1, IFNAR1, IFNAR2, IFNLR1, IFNG, IFNGR1, IFNGR2, EGF, PDGFA, PDGFB, EGFR, PDGFRA, PDGFRB, JAK1, JAK2, JAK3, TYK2, STAT1, STAT2, STAT3, STAT4, STAT5A, STAT5B, STAT6, IRF9, CISH, SOCS1, SOCS2, SOCS3, SOCS4, SOCS5, SOCS7, SOCS6, BCL2, MCL1, BCL2L1, PIM1, MYC, CCND1, CCND2, CCND3, CDKN1A, AOX1, GFAP, STAM2, STAM, PTPN2, PTPN6, CREBBP, EP300, PIAS1, PIAS2, PIAS3, PIAS4, FHL1, PTPN11, GRB2, SOS1, SOS2, HRAS, RAF1, PIK3CA, PIK3CD, PIK3CB, PIK3R1, PIK3R2, PIK3R3, P3R3URF-PIK3R3, AKT1, AKT2, AKT3, MTOR"
37,hsa04064,hsa04064,NF-kappa B signaling pathway - Homo sapiens (human),100,"LCK, ZAP70, LAT, PLCG1, PRKCQ, IGH, SYK, LYN, BLNK, BTK, PLCG2, PRKCB, CARD10, CARD11, CARD14, BCL10, MALT1, IL1B, IL1R1, MYD88, IRAK1, IRAK4, TRAF6, TNF, TNFRSF1A, RIPK1, TRADD, TRAF2, TRAF5, BIRC2, BIRC3, EDA, EDAR, EDARADD, CYLD, EDA2R, RIGI, TRIM25, LBP, CD14, TLR4, LY96, TIRAP, TICAM2, TICAM1, CD40LG, CD40, TRAF3, TNFSF11, TNFRSF11A, LTA, LTB, TNFSF14, LTBR, MAP3K14, MAP3K7, TAB1, TAB2, TAB3, TNFSF13B, TNFRSF13C, IKBKG, CHUK, IKBKB, PARP1, PIAS4, UBE2I, ATM, PIDD1, ERC1, NFKBIA, NFKB1, RELA, PPP1R13L, CFLAR, XIAP, BCL2L1, BCL2, GADD45A, GADD45B, GADD45G, TRAF1, BCL2A1, NFKB2, CXCL8, TNFAIP3, PTGS2, CCL4, CCL4L2, CCL4L1, CXCL1, CXCL2, CXCL3, VCAM1, PLAU, CSNK2A1, CSNK2A2, CSNK2A3, CSNK2B, RELB, CCL13, CCL19, CCL21, CXCL12, ICAM1"
38,hsa04668,hsa04668,TNF signaling pathway - Homo sapiens (human),114,"TNF, TNFRSF1A, BAG4, ADAM17, RHBDF1, RHBDF2, FRMD8, TRADD, TRAF2, TRAF5, RIPK1, BIRC2, BIRC3, MAP3K7, TAB1, TAB2, TAB3, MAP2K4, MAP2K7, MAPK8, MAPK10, MAPK9, JUN, FOS, ITCH, CFLAR, MAP2K3, MAP2K6, MAPK11, MAPK12, MAPK13, MAPK14, CEBPB, MAP3K5, MAP3K14, IKBKG, IKBKB, CHUK, NFKBIA, RELA, NFKB1, MAP3K8, MAP2K1, MAPK1, MAPK3, RPS6KA5, RPS6KA4, CREB1, CREB3, CREB3L1, CREB3L2, CREB3L3, CREB3L4, ATF2, ATF4, CREB5, ATF6B, RIPK3, FADD, CASP8, CASP10, CASP7, CASP3, MLKL, PGAM5, DNM1L, CYLD, XIAP, CCL2, CCL5, CCL20, CXCL1, CXCL2, CXCL3, CXCL5, CXCL6, CXCL10, CX3CL1, CSF1, CSF2, FAS, IL18R1, JAG1, IL1B, IL6, IL15, LIF, LTA, BCL3, SOCS3, TNFAIP3, TRAF1, JUNB, MMP3, MMP9, MMP14, EDN1, VEGFC, VEGFD, NOD2, ICAM1, SELE, VCAM1, PTGS2, TNFRSF1B, TRAF3, PIK3CA, PIK3CD, PIK3CB, PIK3R1, PIK3R2, PIK3R3, P3R3URF-PIK3R3, AKT1, AKT2, AKT3, DAB2IP, IRF1, IFNB1"
39,hsa04066,hsa04066,HIF-1 signaling pathway - Homo sapiens (human),104,"IL6, IL6R, STAT3, TLR4, IFNG, IFNGR1, IFNGR2, RELA, NFKB1, INS, EGF, IGF1, INSR, EGFR, IGF1R, ERBB2, MAP2K1, MAP2K2, MAPK1, MAPK3, MKNK1, MKNK2, PIK3CA, PIK3CD, PIK3CB, PIK3R1, PIK3R2, PIK3R3, P3R3URF-PIK3R3, AKT1, AKT2, AKT3, MTOR, EIF4EBP1, EIF4E, EIF4E2, EIF4E1B, RPS6KB1, RPS6KB2, RPS6, HIF1A, VHL, RBX1, ELOC, ELOB, CUL2, EGLN1, EGLN3, EGLN2, ARNT, CREBBP, EP300, CYBB, PLCG1, PLCG2, PRKCA, PRKCB, PRKCG, CAMK2A, CAMK2D, CAMK2B, CAMK2G, TIMP1, LTBR, EPO, TF, TFRC, VEGFA, FLT1, SERPINE1, ANGPT1, ANGPT2, ANGPT4, TEK, EDN1, NOS2, NOS3, HMOX1, NPPA, SLC2A1, PDK1, HK3, HK1, HK2, HKDC1, PFKM, PFKP, PFKL, GAPDH, ALDOC, ALDOA, ALDOB, ENO3, ENO2, ENO1, PGK2, PGK1, PFKFB3, LDHAL6A, LDHAL6B, LDHA, LDHB, LDHC, BCL2, CDKN1A, CDKN1B, PDHA2, PDHA1, PDHB"
40,hsa04068,hsa04068,FoxO signaling pathway - Homo sapiens (human),126,"TGFB1, TGFB2, TGFB3, TGFBR1, TGFBR2, SMAD4, SMAD3, STK11, PRKAA1, PRKAA2, PRKAB1, PRKAB2, PRKAG1, PRKAG3, PRKAG2, NLK, SKP2, MDM2, SETD7, CREBBP, EP300, SIRT1, USP7, SLC2A4, MAPK8, MAPK10, MAPK9, STK4, IGF1, IGF1R, INS, INSR, IRS1, IRS2, IRS4, PIK3CA, PIK3CD, PIK3CB, PIK3R1, PIK3R2, PIK3R3, P3R3URF-PIK3R3, PDPK1, CHUK, IKBKB, PTEN, AKT1, AKT2, AKT3, SGK1, SGK2, SGK3, C8orf44-SGK3, FOXO1, FOXO3, FOXO4, FOXO6, GRM1, HOMER1, HOMER2, HOMER3, AGAP2, CSNK1E, TPTEP2-CSNK1E, IL6, IL10, STAT3, EGF, EGFR, GRB2, SOS1, SOS2, HRAS, KRAS, NRAS, BRAF, RAF1, ARAF, MAP2K1, MAP2K2, MAPK1, MAPK3, MAPK11, MAPK12, MAPK13, MAPK14, CDK2, PRMT1, FOXG1, CCNB1, CCNB2, CCNB3, CCND1, CCND2, CCNG2, CDKN2B, CDKN2D, CDKN1A, CDKN1B, RBL2, PLK1, PLK2, PLK3, PLK4, GADD45A, GADD45B, GADD45G, FASLG, BCL2L11, TNFSF10, BCL6, BNIP3, ATG12, GABARAP, GABARAPL1, GABARAPL2, DEPP1, CAT, SOD2, ATM, PCK1, PCK2, G6PC1, G6PC2, G6PC3, IL7R, KLF2, S1PR1, S1PR4, RAG1, RAG2, FBXO25, FBXO32"
41,hsa04020,hsa04020,Calcium signaling pathway - Homo sapiens (human),244,"SLC8A1, SLC8A2, SLC8A3, ATP2B1, ATP2B3, ATP2B4, ATP2B2, CHRM1, CHRM3, CHRM5, ADORA2A, ADORA2B, ADRB1, ADRB2, ADRB3, DRD1, DRD5, HRH2, HTR4, HTR5A, HTR6, HTR7, GNAS, GNAL, ADCY1, ADCY2, ADCY3, ADCY4, ADCY7, ADCY8, ADCY9, PRKACA, PRKACB, PRKACG, PLN, SLN, MRLN, C4orf3, SMIM6, ATP2A1, ATP2A3, ATP2A2, HRC, STIM1, STIM2, ORAI1, ORAI2, ORAI3, CACNA1C, CACNA1D, CACNA1F, CACNA1S, CACNA1A, CACNA1B, CACNA1E, CACNA1G, CACNA1H, CACNA1I, CHRNA7, CHRFAM7A, GRIN1, GRIN2A, GRIN2B, GRIN2C, GRIN2D, GRIN3A, GRIN3B, P2RX1, P2RX2, P2RX3, P2RX4, P2RX5, P2RX6, P2RX7, RYR1, RYR2, RYR3, TRDN, CASQ1, CASQ2, ASPH, CYSLTR1, CYSLTR2, CHRM2, ADRA1A, ADRA1B, ADRA1D, AGTR1, EDNRA, EDNRB, F2R, GRM1, GRM5, GRPR, HRH1, HTR2A, HTR2B, HTR2C, LHCGR, NTSR1, OXTR, AVPR1A, AVPR1B, LTB4R2, PTAFR, PTGER1, PTGER3, PTGFR, BDKRB1, BDKRB2, TACR1, TACR2, TACR3, TBXA2R, TRHR, CCKAR, CCKBR, CXCR4, GNAQ, GNA11, GNA14, GNA15, EGF, TGFA, PDGFA, PDGFB, PDGFC, PDGFD, FGF1, FGF2, FGF3, FGF4, FGF17, FGF6, FGF7, FGF8, FGF9, FGF10, FGF16, FGF5, FGF18, FGF20, FGF22, FGF19, FGF21, FGF23, VEGFA, VEGFB, VEGFC, VEGFD, NGF, HGF, MST1, GDNF, EGFR, ERBB2, ERBB3, ERBB4, PDGFRA, PDGFRB, FGFR1, FGFR2, FGFR3, FGFR4, FLT1, FLT4, KDR, NTRK1, NTRK2, NTRK3, MET, MST1R, RET, IGH, PLCD1, PLCD3, PLCD4, PLCB1, PLCB2, PLCB3, PLCB4, PLCG1, PLCG2, PLCE1, PLCZ1, ITPR1, ITPR2, ITPR3, CD38, TPCN1, TPCN2, MCOLN1, MCOLN2, MCOLN3, SPHK1, SPHK2, MCU, VDAC1, VDAC2, VDAC3, SLC25A4, SLC25A5, SLC25A6, SLC25A31, PPIF, TNNC1, TNNC2, CALML3, CALM2, CALM3, CALM1, CALML6, CALML5, CALML4, PHKG1, PHKG2, PHKB, PHKA2, PHKA1, MYLK, MYLK2, MYLK3, MYLK4, CAMK1D, CAMK1G, CAMK1, CAMK2A, CAMK2D, CAMK2B, CAMK2G, CAMK4, PPP3CA, PPP3CB, PPP3CC, PPP3R1, PPP3R2, TFEB, NFATC1, NFATC2, NFATC3, NFATC4, NOS1, NOS2, NOS3, PDE1A, PDE1B, PDE1C, PTK2B, ITPKB, ITPKA, ITPKC, PRKCA, PRKCB, PRKCG"
